Row ID,Order ID,Order Date,Ship Date,Customer ID,Customer Name,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Order Month,Order Year,Discounted Order,Sales,Profit,Discount,Quantity,Processing Time,Profit Margin,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Order Cost Category_Low-Cost,Order Cost Category_Medium-Cost
1,CA-2016-152156,2016-11-08,2016-11-11,CG-12520,Claire Gute,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,11,2016,0,0.13322611297127204,0.15996896098332955,-0.7566434880210966,-0.8043033970404823,-0.5483183132441767,0.07567709940460056,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,CA-2016-152156,2016-11-08,2016-11-11,CG-12520,Claire Gute,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",11,2016,0,1.3237235676084425,1.9810887474375933,-0.7566434880210966,-0.35486486474959156,-0.5483183132441767,0.38900165848379253,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,CA-2016-138688,2016-06-12,2016-06-16,DV-13045,Darrin Van Huff,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,6,2016,0,-0.49330616591284565,-0.19921727461561548,-0.7566434880210966,-0.8043033970404823,0.023934529546372672,0.7694671945085256,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4,US-2015-108966,2015-10-11,2015-10-18,SO-20335,Sean O'Donnell,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,10,2015,1,1.8952816539540196,-3.542149194587498,1.423149322564634,0.5440121998321898,1.7406930579180206,-1.0285883017444206,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,US-2015-108966,2015-10-11,2015-10-18,SO-20335,Sean O'Donnell,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,10,2015,1,-0.47367985356225883,-0.24385648265715984,0.2121533166836726,-0.8043033970404823,1.7406930579180206,-0.030629447425839666,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6,2014,0,-0.4065734691028182,-0.12441200704105966,-0.7566434880210966,1.4428892644139713,0.596187372336922,0.36662133283527865,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,6,2014,0,-0.5118989811752755,-0.2495022405881088,-0.7566434880210966,0.09457366754129916,0.596187372336922,0.3218606815382513,0.0,0.0,1.0,0.0,0.0,1.0,0.0
8,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,6,2014,1,1.7675497730254555,0.6601904937411323,0.2121533166836726,0.9934507321230805,0.596187372336922,-0.05860485448648181,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,6,2014,1,-0.483467678926568,-0.210378614141778,0.2121533166836726,-0.35486486474959156,0.596187372336922,0.41697706554443453,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,6,2014,0,-0.23928879336291708,0.08367127809514592,-0.7566434880210966,0.5440121998321898,0.596187372336922,0.38900165848379253,0.0,0.0,1.0,0.0,0.0,0.0,1.0
